name,artist,id,danceability,energy,liveness,valence,speechiness,loudness
MIA,Bad Bunny,3gE4eQH3K83Sght0ZLvuBK,0.816,0.538,0.099,0.156,0.0617,-6.354
Nice For What,Drake,3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,0.119,0.758,0.0707,-6.474
Um Yea,Quality Control,6XTetcNx1W6CKG0lSSnvrq,0.948,0.5,0.109,0.235,0.235,-6.295
Clout (feat. Cardi B),Offset,59ywHNwwchG4nZJMLyxSzd,0.919,0.622,0.122,0.424,0.0997,-7.384
Underdog (Lil Baby & Gunna),Lil Baby,2Am26UXisQ91vBLYdqd7Pa,0.791,0.735,0.134,0.497,0.16,-4.764
Eyes Closed,G-Eazy,0rZ3xYyjHM9B1IBD9ixZ08,0.715,0.763,0.103,0.395,0.24,-6.329
YOSEMITE,Travis Scott,7lAK3oHbfEnvUQWosrMMpR,0.785,0.554,0.116,0.144,0.0409,-6.571
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,6wWaVoUOzLQJHd3bWAUpdZ,0.753,0.686,0.193,0.886,0.284,-5.415
Yes Indeed,Lil Baby,6vN77lE9LK6HP2DewaN6HZ,0.963,0.346,0.108,0.562,0.53,-9.309
Held Me Down,NAV,0jiW3PNiHJxOhWh9oPBJ7m,0.826,0.422,0.108,0.223,0.11,-8.217
Stir Fry,Migos,2UVbBKQOdFAekPTRsnkzcf,0.817,0.816,0.159,0.508,0.269,-5.402
FEFE,6ix9ine,4QIyEq7TcTdAcxjI2AFlAK,0.931,0.387,0.136,0.376,0.412,-9.127
"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,1JkrD47SDpAbyvqKtolcea,0.911,0.721,0.111,0.69,0.28,-4.833
Plain Jane,A$AP Ferg,6fTULJ8dMdGiXPOVYJ0yEb,0.841,0.854,0.0964,0.436,0.209,-4.512
DNA.,Kendrick Lamar,1C1OBpwB6tRViTiWE2ZgNR,0.64,0.497,0.0858,0.424,0.355,-7.111
Candy Paint,Post Malone,5wN7W4SMpPsV2PyrzLe574,0.667,0.665,0.0721,0.423,0.189,-5.586
Leave Me Alone,Flipp Dinero,5vDvBD3ReINP8dXUplj477,0.792,0.743,0.183,0.742,0.0851,-2.806
Murder on My Mind,Various Artists,6gL5ewZM3SSDOnSrbNOXKu,0.757,0.711,0.111,0.694,0.0569,-8.32
Drip Too Hard (Lil Baby & Gunna),Lil Baby,78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,0.534,0.389,0.292,-6.903
Wanted You (feat. Lil Uzi Vert),NAV,1Faq8G2y56A8fRv7HsLq25,0.797,0.731,0.224,0.623,0.0479,-4.443
Legacy (feat. Travis Scott & 21 Savage),Offset,7pMRoGLEJuFM2wl5pt0R99,0.844,0.513,0.0845,0.344,0.335,-8.769
Splashin,Rich The Kid,3KLo7ByvjCNyBrfz5DZ2mO,0.942,0.382,0.092,0.379,0.564,-8.099
Pure Cocaine,Lil Baby,577YBGuskWkVDCxZrLRB4v,0.964,0.487,0.115,0.107,0.421,-6.071
Hard Work Pays Off,Future,6gzIcEUuswJQGfJNPYMjjv,0.736,0.482,0.229,0.608,0.196,-8.242
Mo Bamba,Sheck Wes,3QybPutx0Tjk472bBKjNWn,0.738,0.629,0.163,0.319,0.0495,-4.882
Suge,DaBaby,2gwkD6igEhQbDQegRCcdoB,0.876,0.662,0.127,0.844,0.426,-6.482
Pure Water (with Migos),Mustard,63cd4JkwGgYJrbOizbfmsp,0.68,0.559,0.318,0.137,0.129,-5.545
Noticed,Lil Mosey,6JQvHMSaR8flFsN53ypOfP,0.699,0.558,0.116,0.493,0.0603,-7.622
Ric Flair Drip (& Metro Boomin),Offset,7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,0.114,0.333,0.206,-8.28
Pray For Me,G-Eazy,6wOCaV1MY8CN2ujNJSfr5z,0.77,0.502,0.069,0.305,0.13,-9.604
Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),Lil Baby,6PoKfDY78ih5OveWirggRX,0.859,0.506,0.113,0.153,0.418,-8.115
Myself,NAV,05nbZ1xxVNwUTcGwLbp7CN,0.749,0.398,0.115,0.0859,0.171,-7.44
Space Cadet (feat. Gunna),Metro Boomin,1fewSx2d5KIZ04wsooEBOz,0.901,0.464,0.238,0.638,0.0645,-9.789
Celebrate (feat. Travis Scott & Post Malone),DJ Khaled,0b6UoVjUzFyZNpHI0aAhKt,0.362,0.714,0.21,0.309,0.0835,-3.07
Goin Baby,DaBaby,3WyRgi8CzQnhzO0xw79tTS,0.755,0.772,0.157,0.678,0.4,-5.585
Quarter Milli (feat. Gucci Mane),Offset,36YZKsGtyzblj9fGYKtR7H,0.909,0.55,0.11,0.189,0.0728,-7.795
Carpet Burn,DaBaby,1N7CHs4eGjgr3gjyUgq75Y,0.824,0.859,0.28,0.903,0.302,-5.668
GHOST,Jaden,0aWMostcnfyjuCEcO7sTz5,0.782,0.531,0.238,0.247,0.168,-6.636
No Question (feat Future),Rich The Kid,26oZOwsCywHXPRvLVORbgw,0.885,0.559,0.0973,0.565,0.322,-7.085
Champion (feat. Travis Scott),NAV,6nO3tr47nr2P7f3hXb8JIo,0.642,0.782,0.108,0.396,0.0477,-3.395
FLIP THE SWITCH (feat. Drake),Quavo,1rlIrbWboTRGeKfHhgbJRZ,0.853,0.637,0.267,0.496,0.331,-5.924
Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq,0.713,0.526,0.124,0.131,0.032,-5.046
On The Road (feat. Meek Mill & Lil Baby),Post Malone,2vAHW5LchZHVvLOg84bLyD,0.575,0.728,0.102,0.221,0.0905,-5.098
No Stylist (feat. Drake),French Montana,04MLEeAMuV9IlHEsD8vF6A,0.765,0.704,0.227,0.498,0.127,-4.589
